panel,n,m,replication,throughput,mean,halfwidth,warmup,steps,seed,loops
table1b_dual_identical,4,4,1,3.027698250,3.027850500,0.000212496,20000,4000000,20260901,"24 24 24 24"
table1b_dual_identical,4,4,2,3.027890000,3.027850500,0.000212496,20000,4000000,20260901,"24 24 24 24"
table1b_dual_identical,4,4,3,3.027610500,3.027850500,0.000212496,20000,4000000,20260901,"24 24 24 24"
table1b_dual_identical,4,4,4,3.027791500,3.027850500,0.000212496,20000,4000000,20260901,"24 24 24 24"
table1b_dual_identical,4,4,5,3.028042500,3.027850500,0.000212496,20000,4000000,20260901,"24 24 24 24"
table1b_dual_identical,4,4,6,3.028399000,3.027850500,0.000212496,20000,4000000,20260901,"24 24 24 24"
table1b_dual_identical,4,4,7,3.028162750,3.027850500,0.000212496,20000,4000000,20260901,"24 24 24 24"
table1b_dual_identical,4,4,8,3.027401750,3.027850500,0.000212496,20000,4000000,20260901,"24 24 24 24"
table1b_dual_identical,4,4,9,3.027917500,3.027850500,0.000212496,20000,4000000,20260901,"24 24 24 24"
table1b_dual_identical,4,4,10,3.027591250,3.027850500,0.000212496,20000,4000000,20260901,"24 24 24 24"
table1b_dual_identical,4,5,1,3.315372250,3.315530000,0.000251364,20000,4000000,20260901,"24 24 24 24 24"
table1b_dual_identical,4,5,2,3.315706500,3.315530000,0.000251364,20000,4000000,20260901,"24 24 24 24 24"
table1b_dual_identical,4,5,3,3.315407250,3.315530000,0.000251364,20000,4000000,20260901,"24 24 24 24 24"
table1b_dual_identical,4,5,4,3.315213500,3.315530000,0.000251364,20000,4000000,20260901,"24 24 24 24 24"
table1b_dual_identical,4,5,5,3.315890500,3.315530000,0.000251364,20000,4000000,20260901,"24 24 24 24 24"
table1b_dual_identical,4,5,6,3.315973500,3.315530000,0.000251364,20000,4000000,20260901,"24 24 24 24 24"
table1b_dual_identical,4,5,7,3.315884250,3.315530000,0.000251364,20000,4000000,20260901,"24 24 24 24 24"
table1b_dual_identical,4,5,8,3.315335000,3.315530000,0.000251364,20000,4000000,20260901,"24 24 24 24 24"
table1b_dual_identical,4,5,9,3.315647500,3.315530000,0.000251364,20000,4000000,20260901,"24 24 24 24 24"
table1b_dual_identical,4,5,10,3.314869750,3.315530000,0.000251364,20000,4000000,20260901,"24 24 24 24 24"
table1b_dual_identical,4,6,1,3.494909000,3.495153350,0.000251282,20000,4000000,20260901,"24 24 24 24 24 24"
table1b_dual_identical,4,6,2,3.495448750,3.495153350,0.000251282,20000,4000000,20260901,"24 24 24 24 24 24"
table1b_dual_identical,4,6,3,3.494851750,3.495153350,0.000251282,20000,4000000,20260901,"24 24 24 24 24 24"
table1b_dual_identical,4,6,4,3.494862000,3.495153350,0.000251282,20000,4000000,20260901,"24 24 24 24 24 24"
table1b_dual_identical,4,6,5,3.495572250,3.495153350,0.000251282,20000,4000000,20260901,"24 24 24 24 24 24"
table1b_dual_identical,4,6,6,3.495461750,3.495153350,0.000251282,20000,4000000,20260901,"24 24 24 24 24 24"
